,id,app,name,applied
0,1,contenttypes,0001_initial,2018-10-09 09:10:34.953169
1,2,auth,0001_initial,2018-10-09 09:10:35.047644
2,3,admin,0001_initial,2018-10-09 09:10:35.142391
3,4,admin,0002_logentry_remove_auto_add,2018-10-09 09:10:35.229346
4,5,admin,0003_logentry_add_action_flag_choices,2018-10-09 09:10:35.321485
5,6,contenttypes,0002_remove_content_type_name,2018-10-09 09:10:35.445754
6,7,auth,0002_alter_permission_name_max_length,2018-10-09 09:10:35.524579
7,8,auth,0003_alter_user_email_max_length,2018-10-09 09:10:35.618118
8,9,auth,0004_alter_user_username_opts,2018-10-09 09:10:35.708655
9,10,auth,0005_alter_user_last_login_null,2018-10-09 09:10:35.796571
10,11,auth,0006_require_contenttypes_0002,2018-10-09 09:10:35.829599
11,12,auth,0007_alter_validators_add_error_messages,2018-10-09 09:10:35.930697
12,13,auth,0008_alter_user_username_max_length,2018-10-09 09:10:36.035651
13,14,auth,0009_alter_user_last_name_max_length,2018-10-09 09:10:36.115478
14,15,sessions,0001_initial,2018-10-09 09:10:36.163085
15,16,Myfirst_app,0001_initial,2018-10-09 09:49:21.307211
16,17,Myfirst_app,0002_regform,2018-10-09 10:45:45.732724
17,18,Myfirst_app,0003_auto_20181009_1617,2018-10-09 10:47:43.118951
18,19,Myfirst_app,0004_userform,2018-10-14 11:11:35.308205
